"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",57.4442589565,57.4434,57.378385232363,4e+05,0.95,54.7889,60.0684,NA,NA,NA,NA,NA,NA,NA
"b[1] None0",5.74302987167188,5.733025,5.65086848571884,366833,0.95,0.679881,10.9492,NA,NA,NA,NA,NA,NA,NA
"b[2] Pregnant1",6.90252944796733,6.90149,6.73644980128186,362310.7,0.95,1.78333,12.0859,NA,NA,NA,NA,NA,NA,NA
"b[3] Pregnant8",5.55629206727494,5.553725,5.4523036295481,380678,0.95,0.373649,10.6503,NA,NA,NA,NA,NA,NA,NA
"b[4] Virgin1",-0.638981740979161,-0.6422625,-0.886024765471028,4e+05,0.95,-5.70897,4.49933,NA,NA,NA,NA,NA,NA,NA
"b[5] Virgin8",-17.562869721675,-17.57905,-17.4812814178691,208875.2,0.95,-22.947,-12.1271,NA,NA,NA,NA,NA,NA,NA
"m[1] None0",63.18728882075,63.1849,63.1934223578523,372072.3,0.95,57.3775,68.9142,NA,NA,NA,NA,NA,NA,NA
"m[2] Pregnant1",64.34678841125,64.3473,64.3727317959371,368537.1,0.95,58.5316,70.082,NA,NA,NA,NA,NA,NA,NA
"m[3] Pregnant8",63.00055100875,62.9953,62.8623996300871,386339.2,0.95,57.2346,68.7815,NA,NA,NA,NA,NA,NA,NA
"m[4] Virgin1",56.805277301,56.80535,57.01449973622,406561.5,0.95,51.02,62.5007,NA,NA,NA,NA,NA,NA,NA
"m[5] Virgin8",39.88138924025,39.8726,40.0542428233447,239799.3,0.95,33.8367,45.8837,NA,NA,NA,NA,NA,NA,NA
"aSigma",15.110021115975,13.1006,10.5247593893733,14555.9,0.95,4.98351,30.3811,NA,NA,NA,NA,NA,NA,NA
"ySigma",14.972705202,14.9199,14.8528545247012,214362.6,0.95,13.1049,16.9333,NA,NA,NA,NA,NA,NA,NA
"Pregnant1Pregnant8.v.None0",0.486380885949253,0.486725,0.395614915357388,4e+05,0.95,-6.499335,7.47215,0,55.48475,-1.5,1.5,28.6865,32.59275,38.72075
"Pregnant1Pregnant8None0.v.Virgin1Virgin8",15.1682095269651,15.1741358333333,15.2217354008834,224773.6,0.95,9.67596,20.5486483333333,0,100,-1.5,1.5,0,0,100
"Pregnant1Pregnant8None0.v.Virgin1",6.70626553661721,6.700098095,6.58733582430751,386322.3,0.95,0.10982,13.35755,0,97.6415,-1.5,1.5,0.76725,5.34224999999999,93.8905
"Virgin1.v.Virgin8",16.9238879806958,16.914835,16.5603141110686,316965.8,0.95,8.74012,25.270118,0,99.99425,-1.5,1.5,0.001,0.015749999999997,99.98325
